campground,"46.780581, -121.810739",Pyramid Creek,pyramid creek camp,,,
campground,"46.782604, -121.834704",Devil's Dream,devils dream,,,
campground,"46.812084, -121.868925",South Puyallup River,s. puyallup river,south puyallup,south puyallup campground,south puyallup campground
campground,"46.83505, -121.876594",Klapatche Park,klapatche park camp,,,
campground,"46.847148, -121.869609",North Puyallup River,n. puyallup river camp,north puyallup,,
campground,"46.878802, -121.893687",Golden Lakes,golden lakes camp,golden lake,,
campground,"46.915015, -121.893687",South Mowich River,south mowich river camp,mowich river camp,,
campground,"46.93299004166694, -121.86317918582445",Mowich Lake Campground,mowich lake,,,
campground,"46.935917261333856, -121.80795220160918",Ipsut Creek Campground,ipsut creek camp,ipsut,,
campground,"46.95085666811608, -121.79915360537828",Carbon River,carbon river camp,carbon river campground,,
campground,"46.93983322180034, -121.78334903199026",Dick Creek,,,,
campground,"46.91469087609107, -121.75087074971235",Mystic Camp,mystic lake,mystic lake area,,
campground,"46.92212198386826, -121.71623274614669",Granite Creek,granite creek camp,,,
campground,"46.91160223519903, -121.65956759968707",Sunrise Camp,sunrise visitor center,sunrise,,
campground,"46.90267134741709, -121.63871749337792",White River Campground,white river,white river camp,,
campground,"46.863579, -121.659019",Summerland,summerland campground,,,
campground,"46.826324, -121.638949",Indian Bar,,,,
campground,"46.771611, -121.625000",Nickel Creek,nickel creek camp,nickel river,,
campground,"46.757991, -121.657037",Maple Creek,maple creek,maple river,,
campground,"46.766209, -121.765344",Paradise River,paradise,paradise river camp,,
campground,"46.76811878623918, -121.79406299363895",Cougar Rock Campground,cougar rock,,,
